case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,yes,23665.619911774982,23642.03773584906,23699.575176886792,0.30113842786040707
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,yes,18340.664628623188,18306.112318840576,18482.622931985294,0.3885697557247603
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,yes,41518.15776209677,41393.58618951613,41721.35416666667,0.17165086214591116
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,yes,1409.3918851273588,1406.724765683422,1410.1445180383314,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,yes,1933.936261737012,1929.0406495139127,1952.9728673687964,0.7287685292489832
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,yes,3090.8869445972377,3070.290117208201,3092.000085564112,0.45598299465172176
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,yes,5635.047385986041,5619.750770739911,5650.430553750866,0.2501118071575432
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,yes,3699.7030671811453,3693.6532540560474,3706.200850920935,0.3809472975357436
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,yes,7432.525206264088,7411.90911612426,7451.160249255952,0.18962490486268807
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,yes,5135.227202868853,5104.473263024722,5340.1030158627245,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,yes,6657.637449165541,6657.211501252392,6796.462818304044,0.7713287546939787
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,yes,11431.042897727273,11350.786961251024,11487.484361968305,0.4492352315369092
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,yes,19586.995361328125,19313.000721153847,19729.939697265625,0.2621753417580149
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,yes,13496.079805107527,13334.21991356383,13726.350203804348,0.38049769096100416
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,yes,27121.592420212764,27120.46246964616,27524.47078804348,0.1893409178674092
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v2,no,yes,3585.9878671203437,3539.8600207066265,3605.6338677662616,1.0
legacy-docs-releasing,4141,technical-docs,gfm,fresh,ox-content,no,yes,4255.835301546465,4199.344527549887,4275.400555447602,0.842604944279043
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v1,no,yes,7789.191867236025,7698.542363122964,7838.615171727594,0.46037996344707094
legacy-docs-releasing,4141,technical-docs,gfm,fresh,md4c,no,yes,10969.626501716248,10804.636853448275,10970.8079650553,0.3269015464254229
legacy-docs-releasing,4141,technical-docs,gfm,fresh,pulldown-cmark,no,yes,9517.06025094697,9490.254142992424,9603.200691793892,0.3767957512682059
