case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
comment-quote,290,comments,gfm,fresh,ox-content,yes,282.78885870007434,282.63361791881016,284.34659485512213,1.009457723552262
comment-quote,290,comments,gfm,fresh,v1,yes,326.59714189907515,323.06371327060094,327.09725995589304,0.8740535691446224
comment-quote,290,comments,gfm,fresh,md4c,yes,1170.5993679972296,1162.994457454396,1176.1814781873775,0.24386088473438755
comment-quote,290,comments,gfm,fresh,pulldown-cmark,yes,575.2967816488856,574.237446749705,577.427970625577,0.4962019720171892
comment-quote,290,comments,gfm,fresh,bun,yes,1447.643885864105,1440.6889640141862,1449.1228815970208,0.1971917267339025
comment-unicode,327,comments,gfm,fresh,v2,yes,439.0510381640509,437.50925577405303,439.93863042179345,1.0
comment-unicode,327,comments,gfm,fresh,ox-content,yes,440.3339899349187,438.2070041256901,440.5273855384776,0.9970864121321695
comment-unicode,327,comments,gfm,fresh,v1,yes,643.2363619791632,642.2042871557455,645.8137502694705,0.6825656385673566
comment-unicode,327,comments,gfm,fresh,md4c,yes,1370.1040097727832,1367.441689291038,1370.3292424332499,0.3204508818544825
comment-unicode,327,comments,gfm,fresh,pulldown-cmark,yes,821.0357679172703,817.5208414284823,831.7156302670637,0.534752632370446
comment-unicode,327,comments,gfm,fresh,bun,yes,1709.395281531111,1698.4070760844616,1710.2270773705068,0.256845823144423
comment-inline-code,285,comments,gfm,fresh,v2,yes,292.96665320189936,292.57076237735674,295.5646397178999,1.0
comment-inline-code,285,comments,gfm,fresh,ox-content,yes,292.57472650185775,290.6858799617955,294.1522610801924,1.0013395781130094
comment-inline-code,285,comments,gfm,fresh,v1,yes,483.18686483398307,481.1965584309181,485.9487711969118,0.6063216418404896
comment-inline-code,285,comments,gfm,fresh,md4c,yes,1240.8534318246016,1226.373279523035,1243.1347676185853,0.2361009331868545
comment-inline-code,285,comments,gfm,fresh,pulldown-cmark,yes,692.4893771345421,691.0164290914463,699.8999512976332,0.42306302865492124
comment-inline-code,285,comments,gfm,fresh,bun,yes,1409.5944497598125,1395.9311736086458,1417.2509300117554,0.20783754735400622
comment-reproduction,298,comments,gfm,fresh,v2,yes,332.07889574880767,329.2330671702019,333.0542360114107,1.0
comment-reproduction,298,comments,gfm,fresh,ox-content,yes,329.8378937659601,328.15476106286985,332.4810212141972,1.0067942526471434
comment-reproduction,298,comments,gfm,fresh,v1,yes,411.98248702717365,406.7224705393721,414.3654301249596,0.8060510002380376
comment-reproduction,298,comments,gfm,fresh,md4c,yes,1371.4813767817982,1333.6102578624732,1374.8383241758243,0.24213153847413943
comment-reproduction,298,comments,gfm,fresh,pulldown-cmark,yes,607.9729449059064,598.6041666821895,611.6599755215959,0.5462066997079981
comment-reproduction,298,comments,gfm,fresh,bun,yes,1413.1344538727108,1393.1554716787077,1426.7336801596352,0.23499455047518072
comment-table,310,comments,gfm,fresh,v2,yes,1013.9139498352636,1008.3477113989956,1023.1577971563011,1.0
comment-table,310,comments,gfm,fresh,ox-content,yes,1013.8667857533092,1013.8547487668582,1021.5316898580772,1.0000465190127708
comment-table,310,comments,gfm,fresh,v1,yes,912.8969944412379,911.6269430614345,916.0584785431059,1.1106553707692461
comment-table,310,comments,gfm,fresh,md4c,yes,2208.7209182779197,2191.5949983389405,2213.455144013378,0.4590502772191722
comment-table,310,comments,gfm,fresh,pulldown-cmark,yes,1250.3729447345693,1239.5306069390422,1252.4663472496795,0.8108892263743747
comment-table,310,comments,gfm,fresh,bun,yes,2197.6180525043937,2191.341259851138,2205.706238977072,0.4613695035312495
comment-review-long,957,comments,gfm,fresh,v2,yes,760.9657614690242,754.4501717189714,765.0221161281019,1.0
comment-review-long,957,comments,gfm,fresh,ox-content,yes,775.2432467556678,769.8215627437005,781.5582672835028,0.9815832187556696
comment-review-long,957,comments,gfm,fresh,v1,yes,974.3696489746817,966.172748855336,975.4990982132426,0.7809826201686187
comment-review-long,957,comments,gfm,fresh,md4c,yes,2225.4983935485143,2190.604880056895,2231.864432982,0.34193049236745526
comment-review-long,957,comments,gfm,fresh,pulldown-cmark,yes,1666.0629808311141,1644.4331523888668,1678.3330298698597,0.45674489513560707
comment-review-long,957,comments,gfm,fresh,bun,yes,4541.065160778986,4535.935684618364,4644.068571512173,0.16757428808585653
comment-incident,1124,comments,gfm,fresh,v2,no,1353.0130946288923,1349.0306550220057,1357.7717833876222,1.0
comment-incident,1124,comments,gfm,fresh,ox-content,no,1332.0517359147893,1328.8873958192166,1337.194915572581,1.015736144587288
comment-incident,1124,comments,gfm,fresh,v1,no,1396.903231132002,1396.7931541838648,1399.7857942567416,0.9685804030480031
comment-incident,1124,comments,gfm,fresh,md4c,no,2870.5666212729357,2864.4209453661324,2876.4113505747127,0.4713400778097624
comment-incident,1124,comments,gfm,fresh,pulldown-cmark,no,2232.3096440209606,2204.5675171786897,2235.9351562499996,0.6061045779436627
comment-incident,1124,comments,gfm,fresh,bun,no,5515.183232378855,5469.080437166285,5519.631607929516,0.24532513927833716
guard-angle-link,41,syntax-guard,commonmark,fresh,v2,no,277.95346621544695,274.55589026726045,278.7967778784099,1.0
guard-angle-link,41,syntax-guard,commonmark,fresh,ox-content,no,289.0965881981041,285.3117129704509,289.36500442578875,0.961455366692113
guard-angle-link,41,syntax-guard,commonmark,fresh,v1,no,484.80692613416056,480.3484450649571,488.08579402769624,0.5733281668061997
guard-angle-link,41,syntax-guard,commonmark,fresh,md4c,no,993.308003204097,981.0350446390125,995.6604050557326,0.27982606132121873
guard-angle-link,41,syntax-guard,commonmark,fresh,pulldown-cmark,no,359.83263966492336,354.46608327670026,362.0823314995218,0.7724520668116088
