case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v1,no,yes,16587.472039473687,16363.731128246753,16824.88333333333,0.38649294496869413
legacy-docs-releasing,4141,technical-docs,gfm,fresh,md4c,no,yes,16504.978412828947,16501.67886513158,16561.82195723684,0.3884246775590434
legacy-docs-releasing,4141,technical-docs,gfm,fresh,pulldown-cmark,no,yes,18313.661911231884,18205.73686594203,18368.732763213982,0.3500632996937759
legacy-docs-releasing,4141,technical-docs,gfm,fresh,bun,no,yes,27786.805004528986,27573.694972826088,27794.418055555558,0.2307188939886084
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v2,no,yes,4881.855727140078,4858.450948255788,5017.657368724899,1.0
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,ox-content,no,yes,6866.779394103165,6844.520577185793,6935.911947513812,0.7109381919757555
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v1,no,yes,12551.35765625,12451.26608910891,12807.428730867347,0.38895041164802896
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,md4c,no,yes,14309.108487215908,14177.84533005618,14358.213068181818,0.3411712009522915
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,pulldown-cmark,no,yes,15005.863467261905,14930.880952380952,15105.979856927712,0.32532987773684324
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,bun,no,yes,24809.94975490196,24742.767463235294,25074.03875,0.19677007714114852
legacy-docs-readme,1825,readme,gfm,fresh,v2,no,yes,6755.273080590671,6672.396027260638,6874.857142857143,1.0
legacy-docs-readme,1825,readme,gfm,fresh,ox-content,no,yes,8633.455172413793,8616.071061643837,8684.036783854166,0.7824530209151468
legacy-docs-readme,1825,readme,gfm,fresh,v1,no,yes,10536.453650210084,10421.911328125,10554.431853991597,0.6411334690829281
legacy-docs-readme,1825,readme,gfm,fresh,md4c,no,yes,14135.630969101123,14093.920470505618,14202.463604842313,0.47788974509570376
legacy-docs-readme,1825,readme,gfm,fresh,pulldown-cmark,no,yes,10712.238381410258,10702.972489316238,10714.81530448718,0.6306126544302447
legacy-docs-readme,1825,readme,gfm,fresh,bun,no,yes,18008.759151785714,17976.504464285714,18146.301856884056,0.3751104128637775
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v2,no,yes,942.0989974463132,934.9721975504862,951.601859005731,1.0
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,ox-content,no,yes,1556.5616902063468,1544.1691927637826,1578.64331907031,0.60524359771531
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v1,no,yes,1983.8225960540713,1962.229820979513,2017.4101676009172,0.4748907484571444
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,md4c,no,yes,3100.972785808939,3076.579276719902,3160.6933396464647,0.303807567018216
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,pulldown-cmark,no,yes,2185.6124864037574,2160.924114853195,2193.4626846054466,0.4310457609969361
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,bun,no,yes,3671.911473607038,3645.225399815242,3702.4715698964496,0.2565690932959391
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,v2,no,yes,18686.494402985074,18639.687040441175,18784.76515858209,1.0
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,ox-content,no,yes,22702.280610795453,22598.113560267855,22710.79656047078,0.8231108901939667
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,v1,no,yes,28088.214583333334,27969.203819444443,28554.83487215909,0.6652788253075029
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,md4c,no,yes,37101.56112132353,36629.425,37115.68198529412,0.5036579011292683
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,pulldown-cmark,no,yes,37395.79044117647,37144.319852941175,37408.44761029411,0.4996951309901821
rust-book-ch00-00-introduction,10839,technical-docs,gfm,fresh,bun,no,yes,66778.86759868421,66585.10197368421,67512.49013157895,0.27982646419349083
vue-docs-ways-of-using-vue,5883,technical-docs,gfm,fresh,v2,no,yes,6687.6377005347595,6632.666832010582,6863.070696721312,1.0
