case,profile,category,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
scanner-opt-6-disabled-4096,opt-6,scanner-diagnostic,reuse,681.0321350762528,2620.4563284518827,0.26022871380877016,0.25989066395874416,0.26256393068705847,3,[0.26022871380877016]
scanner-opt-7-plain-4096,opt-7,scanner-diagnostic,parse,507.20635644768856,349.56204558165547,1.4509766230590626,1.4383442034439706,1.5025709256384159,3,[1.4509766230590626]
scanner-opt-7-plain-4096,opt-7,scanner-diagnostic,reuse,728.6476544289044,571.1627283105023,1.270192732917691,1.2614959579430822,1.2796962923111788,3,[1.270192732917691]
scanner-opt-7-sparse-4096,opt-7,scanner-diagnostic,parse,705.5676789740698,541.2416666666667,1.303432529993059,1.2928373555264834,1.3339302410872969,3,[1.303432529993059]
scanner-opt-7-sparse-4096,opt-7,scanner-diagnostic,reuse,1031.5787438118812,878.8550737359551,1.1742784376838558,1.1712645737443108,1.1849764639010718,3,[1.1742784376838558]
scanner-opt-7-disabled-4096,opt-7,scanner-diagnostic,parse,508.99796416938113,349.22164804469276,1.460516575550349,1.4382421023443068,1.4773745724263299,3,[1.460516575550349]
scanner-opt-7-disabled-4096,opt-7,scanner-diagnostic,reuse,729.0315777972028,575.2728840846366,1.2744824426597434,1.2425716156321713,1.276162395150732,3,[1.2744824426597434]
scanner-opt-0-plain-16000,opt-0,scanner-diagnostic,parse,1238.5906559405942,1222.1273193359375,1.0068748621053554,0.9915034156728647,1.02102875773176,3,[1.0068748621053554]
scanner-opt-0-plain-16000,opt-0,scanner-diagnostic,reuse,2046.594158496732,2061.741879111842,0.9898404608679405,0.9852188407156653,1.0102954513974032,3,[0.9898404608679405]
scanner-opt-0-sparse-16000,opt-0,scanner-diagnostic,parse,1214.1585558252427,1217.919078307393,0.9983617625242693,0.9831482983546607,1.011691115503004,3,[0.9983617625242693]
scanner-opt-0-sparse-16000,opt-0,scanner-diagnostic,reuse,3222.649713010204,2013.657254823151,1.019391952869551,0.9409688852018875,3.8433138904901836,3,[1.019391952869551]
scanner-opt-0-disabled-16000,opt-0,scanner-diagnostic,parse,1223.3646648727984,1227.0629289215685,1.005171598984822,0.9957973940003473,1.0111134579162921,3,[1.005171598984822]
scanner-opt-0-disabled-16000,opt-0,scanner-diagnostic,reuse,2016.9186491935484,2003.9936102236422,1.0001313380803465,0.99842186350549,1.0121621526074165,3,[1.0001313380803465]
scanner-opt-1-plain-16000,opt-1,scanner-diagnostic,parse,1444.1487442263278,1223.7009540117417,1.1782148780601054,1.1688005086792461,1.18036462913014,3,[1.1782148780601054]
scanner-opt-1-plain-16000,opt-1,scanner-diagnostic,reuse,2249.5737410071943,2029.4490665584415,1.1088064351111748,1.0928689250374528,1.1138509760741386,3,[1.1088064351111748]
scanner-opt-1-sparse-16000,opt-1,scanner-diagnostic,parse,1804.5749279538904,1523.5230383211679,1.1780444469727813,1.1754978800272435,1.1986627789655584,3,[1.1780444469727813]
scanner-opt-1-sparse-16000,opt-1,scanner-diagnostic,reuse,2596.3109439834025,2372.9876893939395,1.0941105828688473,1.0917756690633784,1.1073897718714871,3,[1.0941105828688473]
scanner-opt-1-disabled-16000,opt-1,scanner-diagnostic,parse,1442.2102534562212,18120.758928571428,0.07890182191860082,0.07878654265942404,0.07962611606033633,3,[0.07890182191860082]
scanner-opt-1-disabled-16000,opt-1,scanner-diagnostic,reuse,2230.6494661921706,19079.782196969696,0.1161404341204216,0.11613020675967532,0.11791146207371797,3,[0.1161404341204216]
scanner-opt-2-plain-16000,opt-2,scanner-diagnostic,parse,1432.7683781464532,1235.9137845849802,1.1592785807689463,1.1385140188932408,1.1954671057341255,3,[1.1592785807689463]
scanner-opt-2-plain-16000,opt-2,scanner-diagnostic,reuse,2221.44647606383,1999.8502396166134,1.1108064154292363,1.0789969677345195,1.1223273877964843,3,[1.1108064154292363]
scanner-opt-2-sparse-16000,opt-2,scanner-diagnostic,parse,1678.9613773458445,1472.141544117647,1.1382817437797612,1.1324913060579762,1.159861822366994,3,[1.1382817437797612]
scanner-opt-2-sparse-16000,opt-2,scanner-diagnostic,reuse,2719.279897186147,2533.0845141700406,1.0775124838668033,1.0735053970661192,1.0871360827447318,3,[1.0775124838668033]
scanner-opt-2-disabled-16000,opt-2,scanner-diagnostic,parse,1480.13320035461,15172.308779761905,0.09685037480235892,0.09622168965538248,0.09820126274649692,3,[0.09685037480235892]
scanner-opt-2-disabled-16000,opt-2,scanner-diagnostic,reuse,4934.1884842519685,15824.44609375,0.31401880240684876,0.3111580735269308,0.31787816620681786,3,[0.31401880240684876]
scanner-opt-3-plain-16000,opt-3,scanner-diagnostic,parse,1641.2863219895287,1233.355399408284,1.3345716407011827,1.3259484648285524,1.3589194119755017,3,[1.3345716407011827]
scanner-opt-3-plain-16000,opt-3,scanner-diagnostic,reuse,2412.9908653846155,2020.190625,1.2156268799192007,1.1572491695861706,1.2175870609667216,3,[1.2156268799192007]
scanner-opt-3-sparse-16000,opt-3,scanner-diagnostic,parse,2017.1028938906752,1636.9668733681463,1.2360368976700282,1.211620481250737,1.2403842566061785,3,[1.2360368976700282]
scanner-opt-3-sparse-16000,opt-3,scanner-diagnostic,reuse,3096.334777227723,2722.0165760869563,1.1353252821485122,1.1321039978850638,1.1375150336809738,3,[1.1353252821485122]
scanner-opt-3-disabled-16000,opt-3,scanner-diagnostic,parse,1664.800116356383,14716.478924418605,0.11358245738164423,0.1118737485599482,0.11518570041359473,3,[0.11358245738164423]
scanner-opt-3-disabled-16000,opt-3,scanner-diagnostic,reuse,2423.924055232558,15410.474085365853,0.15791060341122395,0.1569810966694097,0.1579171736992123,3,[0.15791060341122395]
scanner-opt-4-plain-16000,opt-4,scanner-diagnostic,parse,1435.7708572247707,1226.5880514705882,1.1727209843500268,1.1705403908862375,1.1747981436551909,3,[1.1727209843500268]
scanner-opt-4-plain-16000,opt-4,scanner-diagnostic,reuse,2225.8349644128116,2030.6750202922078,1.0943090201799943,1.0894118352031157,1.096105946136335,3,[1.0943090201799943]
scanner-opt-4-sparse-16000,opt-4,scanner-diagnostic,parse,1783.8652955840455,1521.5081356447688,1.173073517770439,1.1640211740667414,1.1767703229583895,3,[1.173073517770439]
scanner-opt-4-sparse-16000,opt-4,scanner-diagnostic,reuse,2734.1191320960697,2467.7196112204724,1.1073300208552153,1.1015566550767888,1.1079537236176693,3,[1.1073300208552153]
scanner-opt-4-disabled-16000,opt-4,scanner-diagnostic,parse,1432.8935926773456,15566.469512195123,0.09205000475893295,0.09201792147883456,0.09224261604622015,3,[0.09205000475893295]
scanner-opt-4-disabled-16000,opt-4,scanner-diagnostic,reuse,4924.222933070866,16282.41907051282,0.3024257582209359,0.2990389750025259,0.31360822707597213,3,[0.3024257582209359]
