case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
scan-long-references,gfm,parse,59043.305555555555,50388.7529296875,1.1711890752048115,1.1615157250895813,1.1810007044473585,9,"[1.1660940387374454, 1.173631844517612, 1.171630953009046]"
scan-long-references,gfm,render,2146.6686126373625,2136.2242144808743,1.0065842913548546,1.0010069056771869,1.0116203517351836,9,"[1.0065842913548546, 1.0035433458467644, 1.0075190320694025]"
scan-dense-escapes,commonmark,fresh,5853.6155196629215,5808.860013940521,1.0036751504248027,0.9957060556535131,1.0083691202404519,9,"[1.007704696896636, 1.0030405150499992, 1.0036751504248027]"
scan-dense-escapes,commonmark,reuse,5474.750437062937,5458.628157665506,1.0039539081226658,0.994560106376372,1.010715690444114,9,"[1.0087097994001595, 1.0039539081226658, 1.0021470328001134]"
scan-dense-escapes,commonmark,parse,3577.243063501144,3589.3479787844035,0.9965487029267714,0.9808821565341536,1.0126553996703325,9,"[0.990512439881802, 1.0103031393706692, 0.998123197392056]"
scan-dense-escapes,commonmark,render,1904.5704552375153,1904.0185368453106,0.9983193186560051,0.9809664031999278,1.0098501320654547,9,"[1.0058960480433303, 0.9956643921281417, 0.9983193186560051]"
scan-dense-entities,commonmark,fresh,17931.625710227272,18105.85775862069,0.9903770342882287,0.9767666175786462,0.9987751043214802,9,"[0.9873948237924236, 0.9979218637973954, 0.9903770342882287]"
scan-dense-entities,commonmark,reuse,17397.569444444445,17656.571980337078,0.9844797666818457,0.9747812450877751,1.0027329748033065,9,"[0.9901758902830549, 0.9768681434892107, 0.9875347745870062]"
scan-dense-entities,commonmark,parse,15441.431678921568,15585.96318069307,0.9910613913036934,0.9785506651630543,0.9980044031530803,9,"[0.9876234377051022, 0.9953373738911235, 0.9833251673484105]"
scan-dense-entities,commonmark,render,1988.0344306615775,1985.2309248096446,0.9962638425756932,0.9846422309614079,1.0068400326334754,9,"[0.9976005700488162, 0.9947485423420617, 1.0024589444722665]"
scan-malformed-entities,commonmark,fresh,8961.532678571428,8898.881392045454,1.0094391763039756,0.9958012059478502,1.017233638667264,9,"[1.0123380454621724, 1.0131882160736403, 0.9961786065522934]"
scan-malformed-entities,commonmark,reuse,8612.35834478022,8584.414959016394,0.9981549794954421,0.9917235574205844,1.0086765679828529,9,"[0.997873626030366, 0.9995453922566607, 0.9981549794954421]"
scan-malformed-entities,commonmark,parse,5665.204257246377,5694.185681818181,0.9984608302799464,0.982787905902917,1.0057754552518885,9,"[0.9979055607362453, 1.002238585155001, 0.9984608302799464]"
scan-malformed-entities,commonmark,render,2866.5125915750914,2862.5562614468863,0.9984782835736373,0.99321848156844,1.0053053425170042,9,"[0.9975734291936426, 1.0018448241009483, 0.9984782835736373]"
scan-mdx-links,mdx,fresh,15045.873497596154,14157.32911036036,1.0661384304817079,1.0530704341906507,1.076751071991466,9,"[1.0569172613179711, 1.0688963379773, 1.068206780022817]"
scan-mdx-links,mdx,reuse,14773.990271226416,13844.23396017699,1.0660205040776076,1.0590949979508064,1.0784718929416182,9,"[1.0660205040776076, 1.0758035822711476, 1.0659845778847237]"
scan-mdx-links,mdx,parse,12868.030481557376,12006.858301526718,1.0755420416472636,1.0671589807618431,1.0861978173771745,9,"[1.0754138602362875, 1.0755420416472636, 1.0759226194323095]"
scan-mdx-links,mdx,render,1833.0463437866354,1824.3084159859977,1.0010321543485527,0.9920658375819575,1.0122174017593462,9,"[1.002943661472375, 0.996710063964718, 1.0091609978696314]"
scan-extension-links,extensions,fresh,4460.262375356126,4382.549894957983,1.0175435613367148,0.9822075807114145,1.0403479604988082,9,"[1.008463082029332, 1.0116992640841538, 1.0208421772213834]"
scan-extension-links,extensions,reuse,4025.5796915167093,3971.3376427664975,1.0141697837344712,1.0068290094732715,1.0202054220592898,9,"[1.0136938026451519, 1.0168871085461415, 1.0141697837344712]"
scan-extension-links,extensions,parse,3481.840409242762,3441.9569107929515,1.015610509829377,1.007866605698812,1.019278650965201,9,"[1.0148159701923067, 1.018702250220663, 1.017992376905876]"
scan-extension-links,extensions,render,481.8780353839038,473.34180930021205,1.0212670759432652,1.0089125243555768,1.0328162453398044,9,"[1.0218402717171189, 1.013294936211598, 1.025719947693512]"
