case,bytes,category,profile,mode,engine,strict_all_six,strict_configurable_five,ns,round_min_ns,round_max_ns,speed_relative_to_v2
wiki-tea-article-body,58814,encyclopedia,commonmark,fresh,v1,no,no,162730.955078125,159511.47265625,164007.650390625,0.32952081122108073
wiki-tea-article-body,58814,encyclopedia,commonmark,fresh,md4c,no,no,183098.1205357143,182748.79017857142,183309.43080357142,0.2928661210242488
wiki-tea-article-body,58814,encyclopedia,commonmark,fresh,pulldown-cmark,no,no,168408.3671875,166681.234375,168571.61328125,0.3184119484302271
wiki-tea-article-body,58814,encyclopedia,commonmark,fresh,bun,no,no,380959.46875,378344.5625,381527.015625,0.14075837648575312
wiki-chess-first-paragraph,1190,encyclopedia,commonmark,fresh,v2,no,yes,1251.1862630912162,1225.2665508626396,1300.5574007945092,1.0
wiki-chess-first-paragraph,1190,encyclopedia,commonmark,fresh,ox-content,no,yes,2299.5184871766223,2256.8241764440436,2423.7057720824396,0.5441079382786083
wiki-chess-first-paragraph,1190,encyclopedia,commonmark,fresh,v1,no,yes,3669.477652158255,3593.6896344594984,3784.334594862904,0.34097121762148175
wiki-chess-first-paragraph,1190,encyclopedia,commonmark,fresh,md4c,no,yes,5196.849831538699,5095.8002566575415,5381.589147134453,0.24075859485067347
wiki-chess-first-paragraph,1190,encyclopedia,commonmark,fresh,pulldown-cmark,no,yes,4077.5451908920895,3990.1928742038217,4235.918707734121,0.30684792062782273
wiki-chess-first-paragraph,1190,encyclopedia,commonmark,fresh,bun,no,yes,7398.729748411939,7239.553197254336,7655.929370258813,0.16910825312409478
wiki-chess-article-body,113609,encyclopedia,commonmark,fresh,v2,no,no,106991.04947916666,105500.27083333334,108950.46744791666,1.0
wiki-chess-article-body,113609,encyclopedia,commonmark,fresh,ox-content,no,no,186335.56473214284,182966.890625,191550.78125,0.5741848027399716
wiki-chess-article-body,113609,encyclopedia,commonmark,fresh,v1,no,no,275665.49375,267117.70625,279420.18125,0.3881191222873779
wiki-chess-article-body,113609,encyclopedia,commonmark,fresh,md4c,no,no,350595.703125,342687.17578125,352796.875,0.30516931190403235
wiki-chess-article-body,113609,encyclopedia,commonmark,fresh,pulldown-cmark,no,no,317316.078125,310814.978125,321558.7578125,0.3371750026389138
wiki-chess-article-body,113609,encyclopedia,commonmark,fresh,bun,no,no,734575.5234375,719999.9921875,736812.5,0.14565016947269654
wiki-volcano-first-paragraph,2644,encyclopedia,commonmark,fresh,v2,no,yes,2144.4708969574253,2130.193402953118,2222.031318668859,1.0
wiki-volcano-first-paragraph,2644,encyclopedia,commonmark,fresh,ox-content,no,yes,4214.436026936027,4150.112531043047,4309.403117223605,0.5088393519918952
wiki-volcano-first-paragraph,2644,encyclopedia,commonmark,fresh,v1,no,yes,9158.567112238918,8953.283035714285,9347.10079809287,0.23414917100860602
wiki-volcano-first-paragraph,2644,encyclopedia,commonmark,fresh,md4c,no,yes,9424.415531015038,9283.666087962964,9601.32326225778,0.22754417925441997
wiki-volcano-first-paragraph,2644,encyclopedia,commonmark,fresh,pulldown-cmark,no,yes,7723.370162084375,7611.817329545454,7958.920717265984,0.27765999194044555
wiki-volcano-first-paragraph,2644,encyclopedia,commonmark,fresh,bun,no,yes,15504.276041666668,15186.2765436747,15820.68671875,0.13831480368346824
wiki-volcano-article-body,69241,encyclopedia,commonmark,fresh,v2,no,no,60172.89806547619,59762.376149891774,62108.13541666667,1.0
wiki-volcano-article-body,69241,encyclopedia,commonmark,fresh,ox-content,no,no,110496.80078125,106548.28515625,111026.96484375,0.5445668801271468
wiki-volcano-article-body,69241,encyclopedia,commonmark,fresh,v1,no,no,168511.5546875,163175.943359375,170583.986328125,0.3570847006726937
wiki-volcano-article-body,69241,encyclopedia,commonmark,fresh,md4c,no,no,216156.57552083334,212871.9609375,217359.70052083334,0.27837644041356807
wiki-volcano-article-body,69241,encyclopedia,commonmark,fresh,pulldown-cmark,no,no,199244.046875,195142.578125,199547.3392857143,0.30200600223316554
wiki-volcano-article-body,69241,encyclopedia,commonmark,fresh,bun,no,no,444880.2083333334,435128.6927083334,445929.0364583334,0.13525640596803246
comment-question,160,comments,gfm,reuse,v2,yes,yes,73.66078606348425,73.1963632197324,74.3260163037156,1.0
comment-question,160,comments,gfm,reuse,ox-content,yes,yes,77.94226556832979,76.79334604947067,78.0456957374888,0.9450685777013745
comment-question,160,comments,gfm,reuse,v1,yes,yes,104.43737533671643,103.63296960545966,104.52169802367568,0.7053105827870012
comment-question,160,comments,gfm,reuse,md4c,yes,yes,844.3251269270874,839.5769618794134,846.1261097346044,0.08724220530019275
comment-question,160,comments,gfm,reuse,pulldown-cmark,yes,yes,261.0972894569132,260.8127284561882,262.4786027665281,0.28212007185788845
comment-question,160,comments,gfm,reuse,bun,yes,yes,767.019172231431,761.7935222456763,770.5939417791483,0.09603513019001662
comment-links,278,comments,gfm,reuse,v2,yes,yes,265.9643815818363,263.4515776990697,266.3438631763954,1.0
comment-links,278,comments,gfm,reuse,ox-content,yes,yes,385.09264611039674,383.0620684418012,387.6483987493202,0.6906503779498057
comment-links,278,comments,gfm,reuse,v1,yes,yes,506.69793563584517,505.9674218983512,510.57260288915165,0.5248973064160659
comment-links,278,comments,gfm,reuse,md4c,yes,yes,1350.9312419968232,1345.3434165277245,1351.230901198523,0.1968748470045833
