case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
comment-checklist,comments,<512 B,287,gfm,serialization-equivalent,reuse,0.7622247662601626,0.5790648931571146,1.308324267800293,1.295415171945203,1.327404633686896,v2
comment-quote,comments,<512 B,290,gfm,exact,fresh,0.4587747541103934,0.5504128463254285,0.8343284197275813,0.8177950340157402,0.8400410729625309,main
comment-quote,comments,<512 B,290,gfm,exact,owned,0.3039099982170643,0.2530343065151679,1.1966808357326657,1.1920709261271705,1.2098659124712687,v2
comment-quote,comments,<512 B,290,gfm,exact,reuse,0.2597602134822121,0.2221668868483412,1.1663607865170682,1.1585767945031284,1.183502844472573,v2
comment-unicode,comments,<512 B,327,gfm,exact,fresh,0.957712073631536,0.709974939430648,1.3445827593242796,1.3369147266700396,1.3841633838796825,v2
comment-unicode,comments,<512 B,327,gfm,exact,owned,0.602777200115711,0.4111609640852482,1.4647645559927576,1.453940601511852,1.4786704283067038,v2
comment-unicode,comments,<512 B,327,gfm,exact,reuse,0.4753634024538633,0.3786971289788334,1.2577638596308498,1.2386192152667992,1.2675549893267672,v2
comment-inline-code,comments,<512 B,285,gfm,exact,fresh,0.7946923516949153,0.5615956516530907,1.4157353697503041,1.4054948518693526,1.4420481085356773,v2
comment-inline-code,comments,<512 B,285,gfm,exact,owned,0.44300463050463046,0.26375238410037133,1.6894370542164439,1.6760053896882972,1.7121346562836735,v2
comment-inline-code,comments,<512 B,285,gfm,exact,reuse,0.3929401508801341,0.23078234848857818,1.70252263244014,1.6937272604815998,1.7147857261732258,v2
comment-reproduction,comments,<512 B,298,gfm,exact,fresh,0.5400729622695852,0.6019747929506934,0.8952204480628256,0.8715466576085704,0.9017351730278366,main
comment-reproduction,comments,<512 B,298,gfm,exact,owned,0.4088841466073609,0.3028104896008268,1.350297168193755,1.3357285799287393,1.3641988333524242,v2
comment-reproduction,comments,<512 B,298,gfm,exact,reuse,0.3650473057156206,0.27380039934003036,1.3310499805761826,1.321639765531436,1.3438322278712709,v2
comment-table,comments,<512 B,310,gfm,exact,fresh,1.109663393279697,1.406351548440312,0.7886589044382178,0.7706068499476119,0.7952723231135334,main
comment-table,comments,<512 B,310,gfm,exact,owned,0.9603720683121671,1.1013515001174259,0.8704726589401809,0.8652215994316651,0.8759512991438128,main
comment-table,comments,<512 B,310,gfm,exact,reuse,0.8549255105762218,1.0790907717541436,0.7899873322074535,0.7830113372054557,0.7933954277339603,main
comment-review-long,comments,512 B–2 KiB,957,gfm,exact,fresh,1.5054424975915222,1.1530834972946384,1.3080614984857069,1.3009183480002655,1.3190509648961806,v2
comment-review-long,comments,512 B–2 KiB,957,gfm,exact,owned,1.0482638500670842,0.8289464064710043,1.263597000303928,1.2477724505175412,1.2734032210552693,v2
comment-review-long,comments,512 B–2 KiB,957,gfm,exact,reuse,0.9874382371524852,0.7986987968483815,1.2363086573422402,1.2308025793198518,1.2443334052341724,v2
comment-incident,comments,512 B–2 KiB,1124,gfm,exact,fresh,2.047860944323144,1.7869783727134148,1.152194341603139,1.1249249755561708,1.1592873588304375,v2
comment-incident,comments,512 B–2 KiB,1124,gfm,exact,owned,1.5880083149966147,1.4416745272140221,1.1033000870332377,1.0916521878810999,1.1092161615711464,v2
comment-incident,comments,512 B–2 KiB,1124,gfm,exact,reuse,1.5089888996138996,1.411183962974112,1.0707678484663006,1.062641999977627,1.077400742388076,v2
guard-angle-link,syntax-guard,<512 B,41,commonmark,different,fresh,0.8874824521961379,0.536427045194508,1.6686582713244047,1.6182086406335492,1.6855253454657904,v2
guard-angle-link,syntax-guard,<512 B,41,commonmark,different,owned,0.3900785072391413,0.23286942374565325,1.669806017694281,1.6604779217660313,1.6767923245671204,v2
guard-angle-link,syntax-guard,<512 B,41,commonmark,different,reuse,0.31013840467054776,0.20890441454991088,1.49017567817905,1.477694906823233,1.4983201318242556,v2
legacy-contributing,technical-docs,2–10 KiB,9323,gfm,heading-id-only,fresh,17.826546638257575,12.730898141891892,1.4014801335256297,1.3935969802782366,1.4133913843763384,v2
legacy-contributing,technical-docs,2–10 KiB,9323,gfm,heading-id-only,owned,16.761179241071428,12.294195844240837,1.3627855995447042,1.343758794753246,1.3722855745030773,v2
legacy-contributing,technical-docs,2–10 KiB,9323,gfm,heading-id-only,reuse,16.191738362068964,12.330129253926701,1.3142131578456693,1.2832325391769814,1.3316050084287516,v2
legacy-node-ferromark-readme,readme,2–10 KiB,9075,gfm,heading-id-only,fresh,18.601131889763778,12.71251418918919,1.4647430584334853,1.4430289397965619,1.4740396153119888,v2
legacy-node-ferromark-readme,readme,2–10 KiB,9075,gfm,heading-id-only,owned,16.9411157823741,12.290010143979059,1.3718286712358398,1.3654937287150095,1.384627300356045,v2
legacy-node-ferromark-readme,readme,2–10 KiB,9075,gfm,heading-id-only,reuse,16.23390797413793,12.259935221354166,1.324700882355535,1.3165762480869472,1.3470313739726878,v2
legacy-docs-migration-0-2,technical-docs,512 B–2 KiB,1985,gfm,heading-id-only,fresh,4.665589835984096,3.1079263245033113,1.5106999703631099,1.491380542163611,1.5255149082972224,v2
legacy-docs-migration-0-2,technical-docs,512 B–2 KiB,1985,gfm,heading-id-only,owned,4.132131657130281,2.772517102541371,1.4919558431628,1.478205009393839,1.512644134417954,v2
legacy-docs-migration-0-2,technical-docs,512 B–2 KiB,1985,gfm,heading-id-only,reuse,3.8947453799833887,2.7233413182346107,1.4312579432078698,1.4234244412913553,1.4418738823292097,v2
legacy-docs-migration-0-3,technical-docs,2–10 KiB,2379,gfm,heading-id-only,fresh,5.076927150974026,3.7384349082934607,1.359352841543691,1.3536819606438104,1.3818727251813767,v2
legacy-docs-migration-0-3,technical-docs,2–10 KiB,2379,gfm,heading-id-only,owned,4.365735102420857,3.3701546336206896,1.2936228350305343,1.2859482075184374,1.3027892788252335,v2
legacy-docs-migration-0-3,technical-docs,2–10 KiB,2379,gfm,heading-id-only,reuse,4.201706205197133,3.34664207382311,1.2415351577814655,1.235923935872688,1.2601629228275038,v2
